Acceleration;Braking;Steering;Clutch;Gear; Gear; SpeedX;TrackPosition;Angle;Track_1;Track_2;Track_3;Track_4;Track_5;Track_6;Track_7;Track_8;Track_9;Track_10;Track_11;Track_12;Track_13;Track_14;Track_15;Track_16;Track_17;Track_18;Track_19
1.0;0.0;-0.028339523822069168;0.6399999856948853;1;1;767.804;0.333333;5,52E+01;4.0;414.172;522.405;697.929;11.713;154.867;231.074;461.863;200.0;200.0;200.0;912.141;459.264;308.461;23.355;139.366;104.384;828.099;8.0
1.0;0.0;-0.028294524177908897;0.6399999856948853;1;1;839.098;0.333333;6,65E+01;4.0;414.184;522.455;698.042;117.166;154.933;231.223;462.463;200.0;200.0;200.0;910.974;458.971;308.331;233.478;139.343;104.374;828.074;8.0
1.0;0.0;-0.02822697162628174;0.6399999856948853;1;1;917.124;0.333333;8,35E+01;4.0;414.203;522.529;698.211;117.221;155.031;231.446;463.369;200.0;200.0;200.0;909.223;458.531;308.136;233.369;13.931;10.436;828.036;8.0
1.0;0.0;-0.028147825971245766;0.6399999856948853;1;1;994.737;0.333333;0.00103322;4.0;414.225;522.616;69.841;117.285;155.146;231.709;464.434;200.0;200.0;200.0;907.184;458.018;307.909;233.242;13.927;104.342;827.992;8.0
1.0;0.0;-0.028069037944078445;0.6399999856948853;1;1;106.607;0.333333;0.00123101;4.0;414.247;522.703;698.608;117.349;155.262;23.197;465.499;200.0;200.0;200.0;905.162;457.508;307.683;233.116;139.231;104.325;827.948;800.001
1.0;0.0;-0.02798164263367653;0.6399999856948853;1;1;113.012;0.333333;0.00145036;4.0;414.272;5.228;698.827;11.742;155.389;232.262;466.686;200.0;200.0;200.0;90.293;456.944;307.432;232.976;139.188;104.306;8.279;800.001
1.0;0.0;-0.027889981865882874;0.6399999856948853;1;1;119.556;0.333333;0.00168014;400.001;414.298;522.901;699.057;117.495;155.524;232.567;467.936;200.0;200.0;200.0;900.603;456.354;307.171;23.283;139.142;104.286;827.849;800.001
1.0;0.0;-0.027790885418653488;0.6399999856948853;1;1;126.391;0.333333;0.00192877;400.001;414.325;52.301;699.306;117.575;155.669;232.899;469.296;200.0;200.0;200.0;898.099;455.718;306.888;232.672;139.093;104.264;827.795;800.001
1.0;0.0;-0.027690885588526726;0.6399999856948853;1;1;133.504;0.333333;0.00217914;400.001;414.354;523.121;699.558;117.657;155.816;233.234;470.673;200.0;200.0;200.0;895.592;455.079;306.603;232.513;139.043;104.242;82.774;800.002
1.0;0.0;-0.027582677081227303;0.6399999856948853;1;1;140.588;0.333333;0.00245042;400.001;414.384;52.324;69.983;117.745;155.975;233.598;472.175;200.0;200.0;200.0;892.891;454.388;306.296;232.341;13.899;104.219;82.768;800.002
1.0;0.0;-0.027466265484690666;0.6399999856948853;1;1;147.282;0.333313;0.00273742;400.014;414.429;523.383;70.014;117.843;156.149;233.991;473.789;200.0;200.0;200.0;890.038;453.653;305.967;232.156;138.931;104.192;827.604;799.991
1.0;0.0;-0.027329910546541214;0.6399999856948853;1;1;153.958;0.333109;0.00303465;400.136;414.589;523.674;700.653;117.976;156.372;234.465;475.602;200.0;200.0;200.0;886.981;452.833;305.585;231.932;138.851;10.415;827.413;799.869
1.0;0.0;-0.027188928797841072;0.6399999856948853;1;1;160.366;0.332906;0.00334358;400.259;41.475;523.971;701.178;118.113;156.602;234.955;477.494;200.0;200.0;200.0;88.383;451.986;305.191;231.702;138.769;104.108;827.219;799.748
1.0;0.0;-0.027042565867304802;0.6399999856948853;1;1;167.012;0.332702;0.00366563;400.381;414.913;524.273;701.717;118.255;156.841;235.465;479.475;200.0;200.0;200.0;880.574;451.109;304.783;231.464;138.685;104.064;827.022;799.627
